direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn,time_stopped_min
"SPB_YAN",04.11.2025 22:35,10.12.2025 8:13,11513.35,13.9,13.9,844
"SPB_YAN",11.01.2026 12:44,15.02.2026 12:39,11512.73,13.8,18.7,936
"SPB_YAN",08.04.2025 23:06,11.05.2025 23:10,11347.28,13.8,18.0,0
"YAN_SPB",04.03.2025 12:30,06.04.2025 17:54,11297.65,14.2,18.5,0
"SPB_YAN",10.12.2025 21:21,14.01.2026 7:24,11378.0,13.9,19.1,0
"SPB_YAN",11.02.2026 23:23,19.03.2026 2:53,11393.4,14.1,14.1,0
"SPB_YAN",14.08.2025 23:56,16.09.2025 1:32,11513.82,14.6,14.6,0
"YAN_SPB",26.06.2026 12:52,01.08.2026 18:08,10237.38,-1.0,-1.0,0
"SPB_YAN",28.06.2026 12:23,01.08.2026 09:40,10666.73,-1.0,-1.0,0
