direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn
"DUD_MMK",03.04.2025 22:18,12.04.2025 2:55,1535.25,8.9,15.4
"DUD_MMK",04.02.2025 18:12,14.02.2025 0:32,1456.48,8.3,8.3
"DUD_MMK",31.12.2025 13:28,07.01.2026 15:07,1378.74,10.7,10.7
"DUD_MMK",21.10.2025 22:11,28.10.2025 15:58,1389,10.5,15.4
"DUD_MMK",06.07.2025 10:05,14.07.2025 5:46,1733.53,11.3,11.3
"DUD_MMK",06.07.2025 10:05,14.07.2025 23:32,1742.55,11.2,11.2
"DUD_MMK",19.07.2026 10:19,25.07.2026 22:55,1355.67,11.0,13.5
"DUD_MMK",26.10.2024 12:20,12.11.2024 23:33,1371.52,11.4,14.8
