direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn,time_stopped_min
"SHA_YAN",26.02.2025 9:13,03.03.2025 23:45,996.11,12.8,15.7,0
"YAN_SHA",16.09.2025 12:56,21.09.2025 0:42,903.42,13.9,17.0,2602
"SHA_YAN",29.05.2026 01:38,02.06.2026 08:04,1030.91,-1.0,-1.0,0
"YAN_SHA",01.08.2026 18:32,11.08.2026 10:10,1638.94,-1.0,-1.0,0
