direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn
"DUD_MMK",18.03.2025 23:43,24.03.2025 11:26,1396.78,10.4,10.4
"DUD_MMK",15.02.2025 1:15,21.02.2025 2:07,1377.39,10.0,10.0
"DUD_MMK",28.01.2025 20:06,03.02.2025 12:25,1374.81,10.1,10.1
"DUD_MMK",10.01.2025 1:14,15.01.2025 20:43,1372.91,9.5,9.5
"DUD_MMK",10.12.2024 2:28,16.12.2024 15:32,1387.81,10.3,10.3
"DUD_MMK",21.11.2024 2:39,27.11.2024 0:10,1422.79,10.2,13.9
"DUD_MMK",30.10.2024 20:15,04.11.2024 14:15,1356.29,11.8,14.9
"MMK_DUD",22.01.2026 5:09,28.01.2026 12:55,1371.76,8.8,14.0
"MMK_DUD",03.05.2025 14:26,09.05.2025 6:53,1362.35,10.3,15.4
"MMK_DUD",14.04.2025 19:12,21.04.2025 8:33,1379.77,9.4,13.5
"MMK_DUD",24.03.2025 10:46,30.03.2025 16:40,1360.34,9.1,14.4
"MMK_DUD",05.03.2025 15:39,11.03.2025 22:10,1357.72,9.1,14.4
"MMK_DUD",16.02.2025 12:23,22.02.2025 9:27,1343.86,10.5,10.5
"MMK_DUD",28.12.2024 19:57,03.01.2025 5:25,1335,11.0,11.0
"MMK_DUD",09.12.2024 7:19,14.12.2024 20:41,1371.59,10.3,16.1
"MMK_DUD",20.11.2024 10:19,25.11.2024 14:40,1327.73,11.0,15.4
"MMK_DUD",31.10.2024 10:07,05.11.2024 15:23,1343.31,10.9,15.1
"MMK_DUD",09.03.2026 15:19,17.03.2026 1:15,1551.17,8.5,8.5
"MMK_DUD",19.02.2026 2:47,25.02.2026 21:26,1446.87,9.1,9.1
"MMK_DUD",30.01.2026 17:32,05.02.2026 20:00,1377.91,10.2,10.2
"MMK_DUD",12.01.2026 10:00,18.01.2026 15:35,1373.93,9.1,9.1
"MMK_DUD",21.12.2025 13:10,27.12.2025 12:41,1360.03,10.1,15.0
"MMK_DUD",05.12.2025 20:09,10.12.2025 17:05,1338.16,12.0,17.0
"MMK_DUD",16.11.2025 21:00,22.11.2025 16:41,1374.59,10.0,13.4
"MMK_DUD",30.10.2025 21:57,04.11.2025 6:23,1323.13,13.1,16.2
"MMK_DUD",14.10.2025 10:49,19.10.2025 13:51,1426.91,11.0,17.0
"MMK_DUD",28.09.2025 17:06,04.10.2025 6:36,1423.49,11.7,11.7
"MMK_DUD",12.09.2025 11:00,17.09.2025 16:52,1393.32,11.1,14.1
"MMK_DUD",27.08.2025 22:35,02.09.2025 1:45,1360.13,11.7,11.7
"MMK_DUD",10.08.2025 18:55,16.08.2025 4:09,1373.29,11.5,11.5
"MMK_DUD",25.07.2025 5:44,30.07.2025 10:59,1373.02,11.9,11.9
"MMK_DUD",09.07.2025 9:36,14.07.2025 17:57,1358.54,11.2,14.5
"MMK_DUD",19.04.2025 17:08,26.04.2025 5:54,1468.97,9.7,13.0
"MMK_DUD",31.03.2025 5:17,07.04.2025 5:08,1360.89,8.7,14.3
"MMK_DUD",10.03.2025 14:12,17.03.2025 3:03,1382.08,9.6,15.7
"MMK_DUD",19.02.2025 16:17,25.02.2025 9:33,1372.63,9.9,9.9
"MMK_DUD",02.02.2025 1:48,07.02.2025 14:38,1342.73,10.9,10.9
"MMK_DUD",01.08.2025 1:24,06.08.2025 1:26,1337.48,11.9,14.9
"MMK_DUD",03.01.2025 5:20,08.01.2025 21:28,1370.96,9.9,9.9
"MMK_DUD",16.12.2024 16:10,22.12.2024 1:13,1351.97,10.6,15.7
"MMK_DUD",31.12.2025 13:22,06.01.2026 2:30,1318.97,10.9,15.2
"MMK_DUD",25.11.2025 14:05,01.12.2025 6:49,1381.72,10.2,10.2
"MMK_DUD",08.11.2025 16:15,14.11.2025 5:57,1348.05,10.2,10.2
"MMK_DUD",24.10.2025 11:15,29.10.2025 1:47,1342.47,12.0,12.0
"MMK_DUD",08.10.2025 6:13,13.10.2025 11:01,1310.94,11.0,13.5
"MMK_DUD",21.09.2025 16:14,26.09.2025 14:45,1447.59,12.4,16.0
"MMK_DUD",03.09.2025 18:02,08.09.2025 13:46,1330.97,11.8,15.0
"MMK_DUD",26.04.2025 15:58,02.05.2025 13:13,1439.75,10.9,15.7
"MMK_DUD",07.04.2025 7:03,13.04.2025 2:21,1442.01,10.9,10.9
"MMK_DUD",19.03.2025 4:59,25.03.2025 13:12,1378.17,9.8,16.3
"MMK_DUD",01.03.2025 22:16,08.03.2025 0:40,1430.92,10.1,15.1
"MMK_DUD",10.01.2025 23:41,16.01.2025 15:17,1349.62,10.1,10.1
"MMK_DUD",25.11.2024 15:19,30.11.2024 21:57,1363.17,11.5,11.5
"MMK_DUD",01.08.2026 02:51,06.08.2026 01:35,1323.33,11.9,13.9
"MMK_DUD",27.06.2026 20:50,02.07.2026 21:15,1319.37,11.3,15.0
"MMK_DUD",11.08.2026 19:20,17.08.2026 03:01,1312.11,11.0,14.0
"MMK_DUD",26.07.2026 21:55,01.08.2026 01:17,1329.26,11.1,13.1
"MMK_DUD",19.08.2026 13:13,24.08.2026 13:42,1346.04,11.5,14.6
"MMK_DUD",07.07.2026 19:24,12.07.2026 17:54,1294.63,11.7,14.4
"MMK_DUD",22.06.2026 16:21,27.06.2026 21:52,1344.70,11.3,13.9
"MMK_DUD",20.08.2025 21:58,25.08.2025 16:54,1349.82,11.9,17.0
"MMK_DUD",06.02.2025 6:30,11.02.2025 21:57,1425.05,11.0,11.0
"MMK_DUD",21.01.2025 21:45,26.01.2025 14:29,1337.56,12.1,18.5
"MMK_DUD",02.12.2024 1:35,07.12.2024 16:28,1342.28,10.4,15.2
"MMK_DUD",07.11.2024 7:01,12.11.2024 13:46,1344.96,11.4,13.8
