direction,departure,arrival,distance_nm,avg_speed_kn,max_speed_kn,time_stopped_min
"MUN_YAN",14.01.2026 4:11,26.01.2026 19:25,4323.17,14.6,18.9,212
"MUN_YAN",22.09.2025 18:26,07.10.2025 1:11,4353.65,14.0,16.8,1516
"MUN_YAN",05.11.2025 16:54,18.11.2025 11:15,4286.2,14.1,16.6,0
"MUN_YAN",31.07.2025 20:23,14.08.2025 7:35,4363.57,15.2,19.0,0
"MUN_YAN",01.12.2025 20:11,14.12.2025 9:33,4295.77,14.3,18.9,286
"YAN_MUN",25.05.2026 17:35,16.06.2026 09:34,4541.27,-1.0,-1.0,0
"MUN_YAN",07.07.2026 14:53,23.07.2026 14:15,4395.77,-1.0,-1.0,0
"YAN_MUN",02.06.2026 16:35,27.06.2026 01:22,4559.62,-1.0,-1.0,0
"MUN_YAN",09.07.2025 8:21,09.09.2025 11:12,12361.48,14.4,14.4,0
